#  SN DTD predictions combining SD+DD models from 6 BPS groups, compiled in Nelemans et al. 2013
#  SN rates are in units of [ yr-1 Msun-1 ]
#  NOTE : assumes a Kroupa IMF
#    t       Yungelson       Wang/Han       	 Ruiter             Mennekens       Bours/Toonen        Claeys
    0.0     0.0 				  0.0 			  	 0.0 				     0.0 				0.0 						0.0
   29.0     0.0 				  0.0 			  	 0.0 				     0.0 				0.0 						0.0
   30.0     0.0 				  0.0 			  	 0.0 				     0.0 				0.0 						0.0
   99.0     0.0 				  0.0 			  	 0.0 				     0.0 				0.0 						0.0
  100.0     2.816e-13 		  3.4028777e-14  	 1.9347582e-13      9.3e-13 			4.64028571e-14 		7.9306748e-14
  299.0     2.816e-13 		  3.4028777e-14  	 1.9347582e-13      9.3e-13 			4.64028571e-14 		7.9306748e-14
  300.0     2.304e-13 		  9.406187463e-13  2.2860892e-13      1.08252e-12 		1.90765e-13		 		7.5823819e-14
  999.0     2.304e-13 		  9.406187463e-13  2.2860892e-13      1.08252e-12 		1.90765e-13		 		7.5823819e-14
 1000.0     8.803816e-14 	  3.906187e-13 	 1.772403438e-13    2.08568e-13 	 	7.8255286e-14  		1.829170547e-13
 2999.0     8.803816e-14 	  3.906187e-13 	 1.772403438e-13    2.08568e-13 	 	7.8255286e-14  		1.829170547e-13
 3000.0     2.58624e-14 	  6.7832014e-14 	 4.08530187e-14     1.8352e-14 		2.42637e-14 	 		3.7722534e-14
 9999.0     2.58624e-14 	  6.7832014e-14 	 4.08530187e-14     1.8352e-14 		2.42637e-14 	 		3.7722534e-14
10000.0     7.504e-15 		  9.50497308e-15 	 1.104236929e-14    4.88994e-15 	 	4.6178143e-15  		8.7764985e-15
13699.0     7.504e-15 		  9.50497308e-15 	 1.104236929e-14    4.88994e-15 	 	4.6178143e-15  		8.7764985e-15
13700.0     3.336e-15 		  5.300019425e-15  2.80201457e-15     4.2532e-15 		2.3477143e-15  		3.2027281e-15

