#  SN DTD predictions for SD models from 6 BPS groups, compiled in Nelemans et al. 2013
#  SN rates are in units of [ yr-1 Msun-1 ]
#  NOTE : assumes a Kroupa IMF
#  NOTE : this version explicitly defines the shape of each time delay bin by fixing the SN rate at both
#    the left and right edge of each bin
#    t   Delta       Yungelson       Wang/Han       Ruiter          Mennekens       Bours/Toonen        Claeys
    0.0      0.0    0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   29.0      0.0    0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   30.0      0.0    0.0000000e+00   0.0000000e+00   0.0000000e+00   6.7580000e-13   4.0000000e-14   7.9306748e-14
   99.0      0.0    0.0000000e+00   0.0000000e+00   0.0000000e+00   6.7580000e-13   4.0000000e-14   7.9306748e-14
  100.0      0.0    0.0000000e+00   4.1546763e-15   0.0000000e+00   9.6100000e-13   7.0000000e-14   3.9005567e-14
  299.0      0.0    3.8160000e-17   2.8386331e-13   1.6497938e-15   1.4818000e-13   4.4000000e-14   3.0061347e-15
  300.0      0.0    3.8160000e-17   2.8386331e-13   1.6497938e-15   1.4818000e-13   4.4000000e-14   3.0061347e-15
  999.0      0.0    3.8160000e-17   2.8386331e-13   1.6497938e-15   1.4818000e-13   4.4000000e-14   3.0061347e-15
 1000.0      1.0    1.8240000e-16   3.8139928e-14   1.3385827e-15   7.6260000e-15   9.0000000e-15   0.0000000e+00
 2999.0      1.0    1.8240000e-16   3.8139928e-14   1.3385827e-15   7.6260000e-15   9.0000000e-15   0.0000000e+00
 3000.0      0.0    0.0000000e+00   7.0497338e-16   8.1364829e-16   2.9574000e-16   5.4000000e-17   0.0000000e+00
 9999.0      0.0    0.0000000e+00   7.0497338e-16   8.1364829e-16   2.9574000e-16   5.4000000e-17   0.0000000e+00
10000.0      0.0    0.0000000e+00   5.9887225e-17   1.5606157e-16   0.0000000e+00   0.0000000e+00   0.0000000e+00
13699.0      0.0    0.0000000e+00   5.9887225e-17   1.5606157e-16   0.0000000e+00   0.0000000e+00   0.0000000e+00
13700.0      0.0    0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
