## aIn units 10−4 yr−1 Mpc−3 h370. b N.A.=Not available or cited.
Redshift	RIa	Stat.Uncertainty	Sys.Uncertainty	Source
0.01	0.28	+0.09_0.09	N.A.	Cappellaro_et_al._(1999)
0.03	0.28	+0.11_0.11	N.A.	Mannucci_et_al._(2005)
0.0375	0.278	+0.112_0.083	+0.0150.00	Dilday_et_al._(2010)
0.1	0.259	+0.052_0.044	+0.0280.001	Dilday_et_al._(2010)
0.10	0.32	+0.15_0.15	N.A.	Madgwick_et_al._(2003)
0.10	0.55	+0.50_0.29	+0.200.20	Cappellaro_et_al._(2015)
0.11	0.37	+0.10_0.10	N.A.	Strolger_(2003)
0.13	0.20	+0.07_0.07	+0.050.05	Blanc_et_al._(2004)
0.15	0.307	+0.038_0.034	+0.0350.005	Dilday_et_al._(2010)
0.15	0.32	+0.23_0.23	+0.230.06	Rodney_&_Tonry_(2010)
0.16	0.14	+0.09_0.09	+0.060.12	Perrett_et_al._(2012)
0.2	0.348	+0.032_0.030	+0.0820.007	Dilday_et_al._(2010)
0.20	0.20	+0.08_0.08	N.A.	Horesh_et_al._(2008)
0.25	0.36	+0.60_0.26	+0.120.35	Rodney_et_al._(2014)
0.25	0.365	+0.031_0.028	+0.1820.012	Dilday_et_al._(2010)
0.25	0.39	+0.13_0.12	+0.100.10	Cappellaro_et_al._(2015)
0.26	0.28	+0.07_0.07	+0.060.07	Perrett_et_al._(2012)
0.30	0.34	+0.16_0.15	N.A.	Botticella_et_al._(2008)
0.30	0.434	+0.037_0.034	+0.3960.016	Dilday_et_al._(2010)
0.35	0.34	+0.19_0.19	+0.190.03	Rodney_&_Tonry_(2010)
0.35	0.36	+0.06_0.06	+0.050.06	Perrett_et_al._(2012)
0.42	0.46	+0.42_0.32	+0.100.13	Graur_et_al._(2014)
0.44	0.262	+0.229_0.133	+0.0590.120	Okumura_et_al._(2014)
0.45	0.31	+0.15_0.15	+0.150.04	Rodney_&_Tonry_(2010)
0.45	0.36	+0.06_0.06	+0.040.05	Perrett_et_al._(2012)
0.45	0.52	+0.11_0.13	+0.160.16	Cappellaro_et_al._(2015)
0.46	0.48	+0.17_0.17	N.A.	Tonry_et_al._(2003)
0.47	0.42	+0.06_0.06	+0.130.09	Neill_et_al._(2006)
0.47	0.80	+0.37_0.27	+1.660.26	Dahlen_et_al._(2008)
0.55	0.32	+0.14_0.14	+0.140.07	Rodney_&_Tonry_(2010)
0.55	0.48	+0.06_0.06	+0.040.05	Perrett_et_al._(2012)
0.55	0.52	+0.10_0.09	N.A.	Pain_et_al._(2002)
0.65	0.48	+0.05_0.05	+0.040.06	Perrett_et_al._(2012)
0.65	0.49	+0.17_0.17	+0.170.08	Rodney_&_Tonry_(2010)
0.65	0.69	+0.19_0.18	+0.270.27	Cappellaro_et_al._(2015)
0.74	0.79	+0.33_0.41	N.A.	Graur_et_al._(2011)
0.75	0.51	+0.27_0.19	+0.230.19	Rodney_et_al._(2014)
0.75	0.58	+0.06_0.06	+0.050.07	Perrett_et_al._(2012)
0.75	0.68	+0.21_0.21	+0.210.14	Rodney_&_Tonry_(2010)
0.80	0.839	+0.230_0.185	+0.0600.120	Okumura_et_al._(2014)
0.83	1.30	+0.33_0.27	+0.730.51	Dahlen_et_al._(2008)
0.85	0.57	+0.05_0.05	+0.060.07	Perrett_et_al._(2012)
0.85	0.78	+0.22_0.22	+0.220.16	Rodney_&_Tonry_(2010)
0.94	0.45	+0.22_0.19	+0.130.06	Graur_et_al._(2014)
0.95	0.76	+0.25_0.25	+0.250.26	Rodney_&_Tonry_(2010)
0.95	0.77	+0.08_0.08	+0.100.12	Perrett_et_al._(2012)
1.05	0.79	+0.28_0.28	+0.280.41	Rodney_&_Tonry_(2010)
1.1	0.74	+0.12_0.12	+0.100.13	Perrett_et_al._(2012)
1.14	0.705	+0.239_0.183	+0.1020.103	Okumura_et_al._(2014)
1.21	1.32	+0.36_0.29	+0.380.32	Dahlen_et_al._(2008)
1.23	0.84	+0.25_0.28	N.A.	Graur_et_al._(2011)
1.25	0.64	+0.31_0.22	+0.340.23	Rodney_et_al._(2014)
1.59	0.45	+0.34_0.22	+0.050.09	Graur_et_al._(2014)
1.61	0.42	+0.39_0.23	+0.190.14	Dahlen_et_al._(2008)
1.69	1.02	+0.54_0.37	N.A.	Graur_et_al._(2011)
1.75	0.72	+0.45_0.30	+0.500.28	Rodney_et_al._(2014)
2.25	0.49	+0.95_0.38	+0.450.24	Rodney_et_al._(2014)
