#  SN DTD predictions for SD models from 6 BPS groups, compiled in Nelemans et al. 2013
#  SN rates are in units of [ yr-1 Msun-1 ]
#  NOTE : assumes a Kroupa IMF
#    t    Delta       Yungelson       Wang/Han       Ruiter          Mennekens       Bours/Toonen        Claeys
    0.0     0.0   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   30.0     0.0   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   30.1     0.0   2.8160000e-13   3.4028777e-14   1.9347582e-13   9.3000000e-13   4.6402857e-14   7.9306748e-14
  100.0     0.0   2.8160000e-13   3.4028777e-14   1.9347582e-13   9.3000000e-13   4.6402857e-14   7.9306748e-14
  100.1     0.0   2.3040000e-13   9.4061875e-13   2.2860892e-13   1.0825200e-12   1.9076500e-13   7.5823819e-14
  300.0     0.0   2.3040000e-13   9.4061875e-13   2.2860892e-13   1.0825200e-12   1.9076500e-13   7.5823819e-14
  300.1     1.0   8.8038160e-14   3.9061870e-13   1.7724034e-13   2.0856800e-13   7.8255286e-14   1.8291705e-13
 1000.0     1.0   8.8038160e-14   3.9061870e-13   1.7724034e-13   2.0856800e-13   7.8255286e-14   1.8291705e-13
 1000.1     0.0   2.5862400e-14   6.7832014e-14   4.0853019e-14   1.8352000e-14   2.4263700e-14   3.7722534e-14
 3000.0     0.0   2.5862400e-14   6.7832014e-14   4.0853019e-14   1.8352000e-14   2.4263700e-14   3.7722534e-14
 3000.1     0.0   7.5040000e-15   9.5049731e-15   1.1042369e-14   4.8899400e-15   4.6178143e-15   8.7764985e-15
10000.0     0.0   7.5040000e-15   9.5049731e-15   1.1042369e-14   4.8899400e-15   4.6178143e-15   8.7764985e-15
10000.1     0.0   3.3360000e-15   5.3000194e-15   2.8020146e-15   4.2532000e-15   2.3477143e-15   3.2027281e-15
13700.0     0.0   3.3360000e-15   5.3000194e-15   2.8020146e-15   4.2532000e-15   2.3477143e-15   3.2027281e-15
