# z       dz       log10csfr   err
3.780   0.340       -0.772   0.060
4.920   0.330       -0.963   0.140
5.740   0.360       -0.923   0.190
0.350   0.150       -1.449   0.078
0.800   0.200       -1.183   0.080
1.350   0.250       -1.034   0.143
1.500   0.500       -0.709   0.200
2.750   0.750       -0.512   0.200
4.000   0.500       -0.886   0.250
0.150   0.150       -1.403   0.050
3.040   0.250       -0.795   0.050
4.130   0.300       -0.905   0.100
0.700   0.200       -1.318   0.104
1.250   0.250       -1.186   0.117
0.150   0.150       -1.369   0.150
0.750   0.250       -0.992   0.150
1.250   0.250       -0.864   0.150
1.750   0.250       -0.974   0.150
0.350   0.150       -1.539   0.070
0.625   0.125       -1.266   0.080
0.875   0.125       -0.979   0.150
0.900   0.500       -1.005   0.110
0.025   0.025       -1.913   0.150
0.200   0.100        -1.865  0.14
0.300   0.100        -1.925  0.10
0.400   0.100        -1.271  0.10
0.500   0.100        -1.020  0.07
0.600   0.100        -1.188  0.07
0.700   0.100        -1.272  0.08
0.800   0.100        -1.247  0.08
0.900   0.100        -1.146  0.08
1.000   0.100        -0.941  0.10
1.100   0.100        -1.046  0.15
1.200   0.100        -1.066  0.20
0.375   0.125       -1.705   0.08
0.625   0.125       -1.226   0.12
0.875   0.125       -0.855   0.30
2.750   0.750       -0.557   0.150
0.025   0.025       -1.604   0.110
0.700   0.400       -0.931   0.110
2.200   0.050       -0.576   0.120
1.250   0.550       -0.629   0.026
0.150   0.150       -1.820   0.060
0.900   0.100       -0.972   0.150
1.300   0.600       -0.553   0.120
0.200   0.100       -1.489   0.060
0.022   0.022       -1.900   0.200
0.350   0.150       -1.438   0.270
0.625   0.125       -1.169   0.250
0.875   0.125       -0.874   0.260
2.000   1.000       -0.831   0.220
4.500   1.500       -0.721   0.400
0.005   0.005       -1.964   0.030
0.080   0.080       -1.728   0.080
0.010   0.010       -1.753   0.090
0.070   0.070       -1.920   0.100
0.280   0.60        -1.389   0.180
0.460   0.52        -1.176   0.180
0.600   0.48        -1.117   0.190
0.810   0.44        -0.881   0.150
1.600   0.40        -0.785   0.150
0.005   0.005       -1.679   0.001
0.24    0.88        -1.417   0.200
