# Or's compilation of empirically constrained SFR(z) curves
# using a diet-Salpeter IMF
# (1) - redshift 
# (2) - Yuksel+ 08 
# (3) - Bouwens+ 10 without dust correction
# (4) - Bouwens+ 10 with dust correction
# (5) - Oda+. 08, lower limit
# (6) - Oda+ 08, upper limit
# (7) - Hopkins & Beacom 06 (Cole+ 01 fit)
# (8) - Giavalisco+ 04
# (9) - Behroozi+ 13
#    z               Y08        B10raw             B10corr       oda08lowlim    oda08uplim        HB06           G04               B13
   0.0000000e+00   1.7780000e-02   1.6000000e-03   9.0000000e-03   1.7780000e-02   1.7780000e-02   1.1900000e-02   1.6440633e-02   1.4405315e-02
   1.0000000e-02   1.8391808e-02   1.6484816e-03   9.2266903e-03   1.8318752e-02   1.8501939e-02   1.2810000e-02   1.6595913e-02   1.4727871e-02
   2.0000000e-02   1.9018328e-02   1.6979328e-03   9.4567724e-03   1.8868278e-02   1.9245644e-02   1.3720000e-02   1.6762693e-02   1.5057305e-02
   3.0000000e-02   1.9659765e-02   1.7483632e-03   9.6902632e-03   1.9428686e-02   2.0011547e-02   1.4630000e-02   1.6941160e-02   1.5393748e-02
   4.0000000e-02   2.0316323e-02   1.7997824e-03   9.9271791e-03   2.0000082e-02   2.0800085e-02   1.5540000e-02   1.7131497e-02   1.5737330e-02
   5.0000000e-02   2.0988209e-02   1.8522000e-03   1.0167537e-02   2.0582573e-02   2.1611701e-02   1.6450000e-02   1.7333881e-02   1.6088183e-02
   6.0000000e-02   2.1675628e-02   1.9056256e-03   1.0411353e-02   2.1176264e-02   2.2446840e-02   1.7360000e-02   1.7548483e-02   1.6446440e-02
   7.0000000e-02   2.2378790e-02   1.9600688e-03   1.0658644e-02   2.1781265e-02   2.3305953e-02   1.8270000e-02   1.7775466e-02   1.6812237e-02
   8.0000000e-02   2.3097902e-02   2.0155392e-03   1.0909426e-02   2.2397679e-02   2.4189494e-02   1.9180000e-02   1.8014988e-02   1.7185710e-02
   9.0000000e-02   2.3833172e-02   2.0720464e-03   1.1163715e-02   2.3025616e-02   2.5097921e-02   2.0090000e-02   1.8267196e-02   1.7566996e-02
   1.0000000e-01   2.4584812e-02   2.1296000e-03   1.1421528e-02   2.3665180e-02   2.6031698e-02   2.1000000e-02   1.8532231e-02   1.7956236e-02
   1.1000000e-01   2.5353031e-02   2.1882096e-03   1.1682881e-02   2.4316479e-02   2.6991292e-02   2.1910000e-02   1.8810226e-02   1.8353567e-02
   1.2000000e-01   2.6138041e-02   2.2478848e-03   1.1947790e-02   2.4979620e-02   2.7977174e-02   2.2819999e-02   1.9101302e-02   1.8759133e-02
   1.3000000e-01   2.6940054e-02   2.3086352e-03   1.2216270e-02   2.5654709e-02   2.8989821e-02   2.3729999e-02   1.9405574e-02   1.9173075e-02
   1.4000000e-01   2.7759283e-02   2.3704704e-03   1.2488338e-02   2.6341852e-02   3.0029712e-02   2.4639999e-02   1.9723147e-02   1.9595537e-02
   1.5000000e-01   2.8595942e-02   2.4334000e-03   1.2764009e-02   2.7041157e-02   3.1097331e-02   2.5549998e-02   2.0054114e-02   2.0026662e-02
   1.6000000e-01   2.9450246e-02   2.4974336e-03   1.3043300e-02   2.7752731e-02   3.2193168e-02   2.6459997e-02   2.0398560e-02   2.0466596e-02
   1.7000000e-01   3.0322408e-02   2.5625808e-03   1.3326226e-02   2.8476679e-02   3.3317715e-02   2.7369996e-02   2.0756559e-02   2.0915486e-02
   1.8000000e-01   3.1212646e-02   2.6288512e-03   1.3612802e-02   2.9213109e-02   3.4471469e-02   2.8279994e-02   2.1128176e-02   2.1373476e-02
   1.9000000e-01   3.2121175e-02   2.6962544e-03   1.3903045e-02   2.9962127e-02   3.5654931e-02   2.9189992e-02   2.1513461e-02   2.1840716e-02
   2.0000000e-01   3.3048214e-02   2.7648000e-03   1.4196969e-02   3.0723840e-02   3.6868608e-02   3.0099989e-02   2.1912459e-02   2.2317351e-02
   2.1000000e-01   3.3993980e-02   2.8344976e-03   1.4494590e-02   3.1498355e-02   3.8113009e-02   3.1009986e-02   2.2325200e-02   2.2803530e-02
   2.2000000e-01   3.4958692e-02   2.9053568e-03   1.4795924e-02   3.2285777e-02   3.9388648e-02   3.1919981e-02   2.2751704e-02   2.3299402e-02
   2.3000000e-01   3.5942571e-02   2.9773872e-03   1.5100985e-02   3.3086215e-02   4.0696045e-02   3.2829976e-02   2.3191981e-02   2.3805114e-02
   2.4000000e-01   3.6945835e-02   3.0505984e-03   1.5409790e-02   3.3899775e-02   4.2035721e-02   3.3739969e-02   2.3646028e-02   2.4320814e-02
   2.5000000e-01   3.7968706e-02   3.1250000e-03   1.5722353e-02   3.4726563e-02   4.3408203e-02   3.4649960e-02   2.4113833e-02   2.4846651e-02
   2.6000000e-01   3.9011407e-02   3.2006016e-03   1.6038689e-02   3.5566685e-02   4.4814023e-02   3.5559950e-02   2.4595371e-02   2.5382773e-02
   2.7000000e-01   4.0074158e-02   3.2774128e-03   1.6358814e-02   3.6420250e-02   4.6253717e-02   3.6469937e-02   2.5090607e-02   2.5929326e-02
   2.8000000e-01   4.1157184e-02   3.3554432e-03   1.6682742e-02   3.7287363e-02   4.7727824e-02   3.7379922e-02   2.5599495e-02   2.6486456e-02
   2.9000000e-01   4.2260708e-02   3.4347024e-03   1.7010488e-02   3.8168130e-02   4.9236888e-02   3.8289903e-02   2.6121978e-02   2.7054311e-02
   3.0000000e-01   4.3384955e-02   3.5152000e-03   1.7342068e-02   3.9062660e-02   5.0781458e-02   3.9199881e-02   2.6657988e-02   2.7633034e-02
   3.1000000e-01   4.4530150e-02   3.5969456e-03   1.7677496e-02   3.9971058e-02   5.2362086e-02   4.0109856e-02   2.7207447e-02   2.8222770e-02
   3.2000000e-01   4.5696519e-02   3.6799488e-03   1.8016787e-02   4.0893431e-02   5.3979329e-02   4.1019825e-02   2.7770264e-02   2.8823659e-02
   3.3000000e-01   4.6884289e-02   3.7642192e-03   1.8359955e-02   4.1829886e-02   5.5633748e-02   4.1929790e-02   2.8346342e-02   2.9435844e-02
   3.4000000e-01   4.8093687e-02   3.8497664e-03   1.8707015e-02   4.2780529e-02   5.7325909e-02   4.2839748e-02   2.8935569e-02   3.0059462e-02
   3.5000000e-01   4.9324940e-02   3.9366000e-03   1.9057983e-02   4.3745468e-02   5.9056381e-02   4.3749700e-02   2.9537827e-02   3.0694650e-02
   3.6000000e-01   5.0578279e-02   4.0247296e-03   1.9412872e-02   4.4724808e-02   6.0825738e-02   4.4659645e-02   3.0152985e-02   3.1341543e-02
   3.7000000e-01   5.1853931e-02   4.1141648e-03   1.9771696e-02   4.5718656e-02   6.2634559e-02   4.5569581e-02   3.0780906e-02   3.2000272e-02
   3.8000000e-01   5.3152127e-02   4.2049152e-03   2.0134471e-02   4.6727120e-02   6.4483426e-02   4.6479508e-02   3.1421440e-02   3.2670967e-02
   3.9000000e-01   5.4473098e-02   4.2969904e-03   2.0501211e-02   4.7750306e-02   6.6372925e-02   4.7389424e-02   3.2074431e-02   3.3353754e-02
   4.0000000e-01   5.5817075e-02   4.3904000e-03   2.0871929e-02   4.8788320e-02   6.8303648e-02   4.8299329e-02   3.2739712e-02   3.4048755e-02
   4.1000000e-01   5.7184291e-02   4.4851536e-03   2.1246642e-02   4.9841269e-02   7.0276190e-02   4.9209221e-02   3.3417109e-02   3.4756090e-02
   4.2000000e-01   5.8574977e-02   4.5812608e-03   2.1625361e-02   5.0909261e-02   7.2291150e-02   5.0119098e-02   3.4106439e-02   3.5475874e-02
   4.3000000e-01   5.9989368e-02   4.6787312e-03   2.2008103e-02   5.1992400e-02   7.4349133e-02   5.1028960e-02   3.4807512e-02   3.6208218e-02
   4.4000000e-01   6.1427696e-02   4.7775744e-03   2.2394880e-02   5.3090796e-02   7.6450746e-02   5.1938804e-02   3.5520128e-02   3.6953228e-02
   4.5000000e-01   6.2890198e-02   4.8778000e-03   2.2785707e-02   5.4204552e-02   7.8596601e-02   5.2848629e-02   3.6244084e-02   3.7711006e-02
   4.6000000e-01   6.4377108e-02   4.9794176e-03   2.3180599e-02   5.5333778e-02   8.0787316e-02   5.3758433e-02   3.6979166e-02   3.8481650e-02
   4.7000000e-01   6.5888663e-02   5.0824368e-03   2.3579568e-02   5.6478579e-02   8.3023511e-02   5.4668215e-02   3.7725156e-02   3.9265249e-02
   4.8000000e-01   6.7425098e-02   5.1868672e-03   2.3982629e-02   5.7639062e-02   8.5305811e-02   5.5577971e-02   3.8481827e-02   4.0061889e-02
   4.9000000e-01   6.8986652e-02   5.2927184e-03   2.4389797e-02   5.8815333e-02   8.7634846e-02   5.6487699e-02   3.9248950e-02   4.0871649e-02
   5.0000000e-01   7.0573562e-02   5.4000000e-03   2.4801084e-02   6.0007500e-02   9.0011250e-02   5.7397398e-02   4.0026286e-02   4.1694601e-02
   5.1000000e-01   7.2186067e-02   5.5087216e-03   2.5216504e-02   6.1215669e-02   9.2435660e-02   5.8307064e-02   4.0813593e-02   4.2530812e-02
   5.2000000e-01   7.3824405e-02   5.6188928e-03   2.5636072e-02   6.2439946e-02   9.4908718e-02   5.9216695e-02   4.1610624e-02   4.3380338e-02
   5.3000000e-01   7.5488817e-02   5.7305232e-03   2.6059800e-02   6.3680439e-02   9.7431072e-02   6.0126288e-02   4.2417128e-02   4.4243232e-02
   5.4000000e-01   7.7179544e-02   5.8436224e-03   2.6487704e-02   6.4937254e-02   1.0000337e-01   6.1035839e-02   4.3232848e-02   4.5119533e-02
   5.5000000e-01   7.8896826e-02   5.9582000e-03   2.6919795e-02   6.6210498e-02   1.0262627e-01   6.1945346e-02   4.4057523e-02   4.6009278e-02
   5.6000000e-01   8.0640905e-02   6.0742656e-03   2.7356089e-02   6.7500276e-02   1.0530043e-01   6.2854805e-02   4.4890891e-02   4.6912490e-02
   5.7000000e-01   8.2412023e-02   6.1918288e-03   2.7796598e-02   6.8806698e-02   1.0802652e-01   6.3764211e-02   4.5732684e-02   4.7829186e-02
   5.8000000e-01   8.4210424e-02   6.3108992e-03   2.8241335e-02   7.0129867e-02   1.1080519e-01   6.4673562e-02   4.6582631e-02   4.8759370e-02
   5.9000000e-01   8.6036350e-02   6.4314864e-03   2.8690315e-02   7.1469893e-02   1.1363713e-01   6.5582852e-02   4.7440460e-02   4.9703039e-02
   6.0000000e-01   8.7890047e-02   6.5536000e-03   2.9143551e-02   7.2826880e-02   1.1652301e-01   6.6492078e-02   4.8305896e-02   5.0660178e-02
   6.1000000e-01   8.9771759e-02   6.6772496e-03   2.9601056e-02   7.4200936e-02   1.1946351e-01   6.7401234e-02   4.9178662e-02   5.1630761e-02
   6.2000000e-01   9.1681731e-02   6.8024448e-03   3.0062843e-02   7.5592168e-02   1.2245931e-01   6.8310316e-02   5.0058478e-02   5.2614751e-02
   6.3000000e-01   9.3620210e-02   6.9291952e-03   3.0528926e-02   7.7000682e-02   1.2551111e-01   6.9219319e-02   5.0945064e-02   5.3612098e-02
   6.4000000e-01   9.5587442e-02   7.0575104e-03   3.0999317e-02   7.8426584e-02   1.2861960e-01   7.0128237e-02   5.1838138e-02   5.4622742e-02
   6.5000000e-01   9.7583674e-02   7.1874000e-03   3.1474031e-02   7.9869982e-02   1.3178547e-01   7.1037064e-02   5.2737419e-02   5.5646609e-02
   6.6000000e-01   9.9609155e-02   7.3188736e-03   3.1953080e-02   8.1330983e-02   1.3500943e-01   7.1945794e-02   5.3642622e-02   5.6683611e-02
   6.7000000e-01   1.0166413e-01   7.4519408e-03   3.2436478e-02   8.2809692e-02   1.3829219e-01   7.2854421e-02   5.4553464e-02   5.7733648e-02
   6.8000000e-01   1.0374886e-01   7.5866112e-03   3.2924237e-02   8.4306217e-02   1.4163444e-01   7.3762939e-02   5.5469662e-02   5.8796606e-02
   6.9000000e-01   1.0586357e-01   7.7228944e-03   3.3416370e-02   8.5820664e-02   1.4503692e-01   7.4671339e-02   5.6390932e-02   5.9872357e-02
   7.0000000e-01   1.0800854e-01   7.8608000e-03   3.3912891e-02   8.7353140e-02   1.4850034e-01   7.5579615e-02   5.7316992e-02   6.0960757e-02
   7.1000000e-01   1.1018400e-01   8.0003376e-03   3.4413812e-02   8.8903752e-02   1.5202542e-01   7.6487760e-02   5.8247560e-02   6.2061648e-02
   7.2000000e-01   1.1239021e-01   8.1415168e-03   3.4919147e-02   9.0472605e-02   1.5561288e-01   7.7395764e-02   5.9182353e-02   6.3174857e-02
   7.3000000e-01   1.1462742e-01   8.2843472e-03   3.5428908e-02   9.2059808e-02   1.5926347e-01   7.8303620e-02   6.0121092e-02   6.4300195e-02
   7.4000000e-01   1.1689588e-01   8.4288384e-03   3.5943108e-02   9.3665467e-02   1.6297791e-01   7.9211319e-02   6.1063497e-02   6.5437458e-02
   7.5000000e-01   1.1919585e-01   8.5750000e-03   3.6461760e-02   9.5289687e-02   1.6675695e-01   8.0118852e-02   6.2009292e-02   6.6586424e-02
   7.6000000e-01   1.2152757e-01   8.7228416e-03   3.6984877e-02   9.6932577e-02   1.7060134e-01   8.1026208e-02   6.2958201e-02   6.7746856e-02
   7.7000000e-01   1.2389131e-01   8.8723728e-03   3.7512471e-02   9.8594243e-02   1.7451181e-01   8.1933378e-02   6.3909951e-02   6.8918499e-02
   7.8000000e-01   1.2628733e-01   9.0236032e-03   3.8044556e-02   1.0027479e-01   1.7848913e-01   8.2840352e-02   6.4864269e-02   7.0101082e-02
   7.9000000e-01   1.2871586e-01   9.1765424e-03   3.8581143e-02   1.0197433e-01   1.8253405e-01   8.3747119e-02   6.5820887e-02   7.1294318e-02
   8.0000000e-01   1.3117718e-01   9.3312000e-03   3.9122245e-02   1.0369296e-01   1.8664733e-01   8.4653666e-02   6.6779537e-02   7.2497899e-02
   8.1000000e-01   1.3367153e-01   9.4875856e-03   3.9667876e-02   1.0543079e-01   1.9082974e-01   8.5559983e-02   6.7739957e-02   7.3711504e-02
