|    z | dzpos | dzneg |   sfr | errsfrpos | errsfrneg |              err |
| 0.14 |  0.06 |  0.09 | 0.025 |     0.004 |     0.004 | 0.00565685424949 |
| 0.26 |  0.09 |  0.06 | 0.037 |     0.008 |     0.006 |             0.01 |
|  0.4 |   0.1 |  0.05 | 0.055 |     0.011 |     0.009 |  0.0142126704036 |
| 0.55 |   0.1 |  0.05 | 0.085 |     0.015 |     0.013 |  0.0198494332413 |
| 0.85 |  0.15 |  0.15 |  0.12 |     0.035 |     0.027 |  0.0442040722106 |
| 1.15 |  0.15 |  0.15 | 0.245 |     0.093 |     0.068 |    0.11520850663 |
|  2.3 |   0.3 |   0.6 |  0.23 |     0.038 |     0.038 |  0.0537401153702 |
|  3.0 |   0.4 |   0.3 | 0.166 |     0.034 |     0.034 |  0.0480832611207 |
|  3.8 |   0.3 |   0.3 |  0.17 |     0.018 |     0.017 |  0.0247588368063 |
|  5.0 |   0.5 |   0.5 | 0.055 |     0.008 |     0.008 |   0.011313708499 |
|  5.9 |   0.3 |   0.3 | 0.053 |     0.009 |     0.011 |  0.0142126704036 |
|  7.3 |   0.7 |   0.7 | 0.031 |     0.019 |     0.012 |  0.0224722050542 |
|  4.8 |   0.7 |   0.4 | 0.235 |      0.09 |      0.09 |   0.127279220614 |
|  4.5 |   0.5 |   0.5 | 0.114 |     0.062 |     0.042 |  0.0748865809074 |
|  5.5 |   0.5 |   0.5 |  0.06 |     0.059 |     0.033 |  0.0676017751246 |
|  6.5 |   0.5 |   0.5 | 0.088 |     0.116 |     0.057 |   0.129247823966 |
|  7.8 |   0.7 |   0.8 |  0.05 |     0.116 |     0.042 |   0.123369364106 |
